coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
26.109,57.533,16.354,33.542,14.545,33.927,12.532,31.81,129.269,3.185,128.189,3.407,12.478,30.627,0,Agtron 25
21.867,52.025,15.502,32.522,14.109,33.229,12.26,31.378,129.084,2.919,128.259,3.439,12.218,30.19,0,Agtron 25
23.29,54.439,15.942,32.65,14.657,33.753,12.775,31.96,129.18,3.019,128.269,3.258,12.703,30.757,0,Agtron 25
24.524,55.638,15.857,32.559,14.598,33.582,12.707,31.776,129.175,3.026,128.251,3.31,12.653,30.565,0,Agtron 25
24.565,56.113,15.648,32.282,14.345,33.427,12.478,31.645,129.14,3.016,128.267,3.239,12.456,30.452,0,Agtron 25
30.136,59.082,15.042,29.844,13.604,32.688,11.791,31.155,129.004,2.801,127.829,3.015,11.903,30.034,0,Agtron 25
27.811,57.309,13.949,28.939,13.492,32.63,11.838,31.267,128.882,2.667,128.008,3.057,11.917,30.121,0,Agtron 25
29.091,58.259,13.803,28.191,13.599,32.793,11.956,31.49,128.868,2.62,127.945,3.044,12.045,30.347,0,Agtron 25
28.149,57.221,14.537,30.03,13.899,33.089,12.171,31.68,128.913,2.72,127.998,3.133,12.238,30.508,0,Agtron 25
29.066,58.729,14.488,29.583,13.945,33.255,12.193,31.699,128.95,2.756,128.052,3.315,12.258,30.495,0,Agtron 25
27.905,57.775,14.804,30.137,14.094,33.353,12.332,31.815,128.984,2.772,128.088,3.304,12.371,30.598,0,Agtron 25
26.783,56.16,13.932,29.141,13.304,32.244,11.657,30.957,128.868,2.648,128.016,3.028,11.743,29.814,0,Agtron 25
27.84,57.47,14.516,29.705,13.663,32.715,11.96,31.406,128.923,2.702,127.997,3.004,12.031,30.236,0,Agtron 25
18.261,48.888,19.695,40.314,16.084,35.187,13.706,32.612,129.474,3.496,128.92,3.928,13.474,31.213,0,Agtron 35
18.415,48.755,19.967,40.987,16.049,35.272,13.647,32.664,129.479,3.498,128.928,4.002,13.428,31.252,0,Agtron 35
16.983,47.032,19.17,40.666,15.185,34.433,12.916,32.029,129.365,3.409,128.88,3.896,12.747,30.7,0,Agtron 35
17.093,46.828,19.527,41.182,15.602,34.95,13.256,32.384,129.422,3.516,128.928,4.042,13.056,31.019,0,Agtron 35
17.301,47.057,19.401,40.278,15.511,34.79,13.189,32.276,129.419,3.439,128.853,3.915,12.995,30.935,0,Agtron 35
17.216,46.762,21.019,43.627,16.292,36.023,13.677,32.987,129.601,3.856,129.063,4.364,13.421,31.533,0,Agtron 35
16.664,46.228,20.686,43.669,16.103,35.782,13.554,32.853,129.54,3.767,129.106,4.327,13.313,31.431,0,Agtron 35
16.53,45.843,21.196,44.489,16.577,36.379,13.943,33.275,129.599,3.903,129.175,4.504,13.657,31.798,0,Agtron 35
15.758,44.596,21.14,44.799,16.193,35.964,13.592,32.853,129.573,3.84,129.164,4.473,13.325,31.41,0,Agtron 35
16.008,44.838,20.852,44.226,16.263,36.077,13.675,33.031,129.541,3.833,129.152,4.454,13.426,31.576,0,Agtron 35
16.174,45.485,20.998,44.501,16.318,36.03,13.756,33.084,129.546,3.803,129.163,4.37,13.492,31.627,0,Agtron 35
14.851,42.341,23.968,50.648,18.568,39.179,15.547,35.106,129.841,4.386,129.807,5.892,14.992,33.337,0,Agtron 45
15.113,42.353,24.184,50.253,18.561,38.926,15.5,34.887,129.871,4.389,129.721,5.812,14.975,33.143,0,Agtron 45
14.691,42.004,24.644,51.504,18.892,39.524,15.745,35.232,129.932,4.52,129.877,6.024,15.163,33.447,0,Agtron 45
14.515,41.031,24.631,51.016,18.606,38.834,15.519,34.758,129.857,4.381,129.766,5.831,14.995,32.994,0,Agtron 45
14.26,40.93,24.612,51.263,18.925,39.367,15.813,35.211,129.899,4.444,129.839,5.933,15.241,33.435,0,Agtron 45
14.453,40.97,24.097,50.63,18.659,39.421,15.586,35.218,129.851,4.423,129.743,5.936,15.032,33.423,0,Agtron 45
13.784,40.33,24.245,51.144,19.171,40.236,16.045,35.921,129.913,4.513,129.888,6.05,15.428,34.096,0,Agtron 45
14.438,41.782,23.911,50.442,18.867,40.06,15.786,35.789,129.88,4.46,129.822,6.039,15.204,33.974,0,Agtron 45
13.828,40.537,23.987,50.815,18.394,39.423,15.332,35.226,129.883,4.441,129.771,5.906,14.77,33.471,0,Agtron 45
13.725,40.657,24.505,51.521,18.428,39.385,15.291,35.117,129.94,4.545,129.822,5.955,14.743,33.386,0,Agtron 45
13.883,40.324,26.313,54.853,20.697,42.657,17.171,37.575,130.179,4.937,130.336,7.057,16.388,35.545,0,Agtron 55
13.767,40.218,25.83,54.161,20.136,41.783,16.691,36.868,130.143,4.87,130.22,6.818,15.964,34.902,0,Agtron 55
13.552,39.905,25.543,54.199,20.021,41.913,16.608,36.976,130.101,4.864,130.236,6.888,15.878,34.993,0,Agtron 55
13.553,39.259,25.498,53.879,19.993,41.819,16.622,36.954,130.061,4.789,130.178,6.845,15.89,34.97,0,Agtron 55
14.046,40.971,26.066,54.49,20.561,42.48,17.088,37.524,130.151,4.868,130.291,6.95,16.325,35.501,0,Agtron 55
13.115,38.103,25.879,54.202,20.601,42.403,17.187,37.518,130.058,4.753,130.323,7.001,16.407,35.463,0,Agtron 55
13.538,38.601,26.218,54.53,20.969,42.739,17.454,37.668,130.129,4.863,130.368,7.078,16.646,35.574,0,Agtron 55
13.94,39.657,26.475,54.318,21.094,42.772,17.588,37.765,130.121,4.782,130.401,7.108,16.778,35.66,0,Agtron 55
13.57,38.66,26.668,55.291,21.386,43.453,17.837,38.296,130.123,4.853,130.501,7.348,16.996,36.138,0,Agtron 55
14.042,39.086,27.741,57.669,22.257,44.883,18.495,39.109,130.2,5.064,130.9,8.309,17.533,36.786,0,Agtron 65
14.056,38.611,27.569,56.768,22.619,45.205,18.948,39.658,130.109,4.883,130.876,8.202,17.968,37.304,0,Agtron 65
12.792,36.014,26.14,55.756,21.468,45.001,17.982,39.623,129.939,4.771,130.673,8.155,17.071,37.309,0,Agtron 65
12.976,36.915,26.12,55.887,21.374,44.602,17.897,39.181,129.989,4.785,130.694,8.063,16.984,36.908,0,Agtron 65
12.653,36.348,25.917,55.701,20.989,43.9,17.525,38.516,129.986,4.794,130.631,7.914,16.643,36.273,0,Agtron 65
12.898,36.572,26.285,55.848,21.411,44.354,17.922,39.038,130.003,4.795,130.645,7.934,17.014,36.787,0,Agtron 65
12.484,35.655,26.034,56.284,21.711,45.403,18.227,39.963,129.956,4.816,130.795,8.201,17.292,37.633,0,Agtron 65
12.959,37.292,25.932,55.395,21.04,43.819,17.634,38.646,129.97,4.729,130.592,7.731,16.77,36.444,0,Agtron 65
13.181,37.507,25.742,55.408,21.358,44.602,17.952,39.318,129.952,4.749,130.675,7.998,17.036,37.042,0,Agtron 65
13.052,37.376,26.065,55.641,21.499,44.594,18.069,39.335,129.97,4.735,130.681,7.95,17.161,37.075,0,Agtron 65
13.2,37.731,25.79,55.479,21.104,44.234,17.698,38.963,129.959,4.766,130.631,7.861,16.812,36.731,0,Agtron 65
14.061,40.797,27.274,57.42,21.848,45.262,18.186,39.596,130.153,4.975,130.88,8.232,17.249,37.297,0,Agtron 65
13.881,40.546,26.013,55.85,20.615,43.659,17.169,38.279,130.041,4.852,130.628,7.83,16.302,36.076,0,Agtron 65
13.359,39.04,26.389,56.454,20.862,43.997,17.43,38.737,129.988,4.736,130.669,7.926,16.564,36.501,0,Agtron 65
13.533,39.448,26.799,57.064,21.301,44.651,17.796,39.227,130.033,4.815,130.791,8.181,16.883,36.933,0,Agtron 65
13.31,39.11,26.558,57.134,21.026,44.331,17.49,38.814,130.069,4.914,130.743,8.062,16.6,36.573,0,Agtron 65
13.395,39.791,25.922,56.055,20.554,43.736,17.135,38.465,130.019,4.855,130.593,7.765,16.289,36.282,0,Agtron 65
13.667,40.22,26.873,57.296,21.282,44.671,17.714,39.152,130.108,4.948,130.768,8.075,16.805,36.904,0,Agtron 65
13.706,40.224,26.467,56.581,20.958,43.971,17.498,38.672,130.044,4.832,130.673,7.861,16.61,36.453,0,Agtron 65
13.678,40.575,26.238,56.391,20.944,44.08,17.487,38.709,130.049,4.849,130.702,7.886,16.589,36.496,0,Agtron 65
13.347,39.221,26.623,56.845,21.315,44.488,17.807,39.052,130.061,4.883,130.758,7.971,16.885,36.8,0,Agtron 65
12.629,36.773,25.568,56.095,21.095,44.445,17.709,39.074,129.961,4.84,130.741,8.092,16.762,36.78,0,Agtron 65
12.867,37.342,26.22,56.58,21.296,44.379,17.878,39.045,129.986,4.821,130.769,8.071,16.923,36.754,0,Agtron 65
12.531,36.093,25.788,56.069,21.212,44.607,17.817,39.237,129.926,4.784,130.761,8.131,16.874,36.917,0,Agtron 65
12.709,35.542,27.147,58.079,22.89,47.372,19.16,41.261,130.007,4.904,131.233,9.157,18.088,38.663,0,Agtron 75
13.237,37.212,27.263,58.283,23.497,48.684,19.633,42.234,130.103,5.015,131.323,9.365,18.544,39.601,0,Agtron 75
13.56,38.748,27.153,58.348,22.445,46.844,18.64,40.6,130.145,5.095,131.154,8.97,17.633,38.101,0,Agtron 75
13.046,37.296,26.762,58.114,22.144,46.625,18.384,40.385,130.083,5.048,131.123,8.959,17.394,37.861,0,Agtron 75
12.901,36.483,26.974,58.229,21.907,46.295,18.167,40.155,130.044,4.973,131.059,8.918,17.208,37.67,0,Agtron 75
13.212,36.953,26.813,57.662,22.905,48.047,19.12,41.799,130.05,4.991,131.141,9.143,18.092,39.214,0,Agtron 75
12.676,35.818,26.349,57.494,21.889,46.356,18.221,40.349,129.989,4.946,130.992,8.814,17.265,37.844,0,Agtron 75
12.865,36.079,26.856,57.661,22.513,47.364,18.724,41.075,130.033,4.955,131.139,9.105,17.719,38.5,0,Agtron 75
12.813,36.103,26.972,58.107,22.08,46.523,18.297,40.317,130.069,5.027,131.064,8.983,17.318,37.808,0,Agtron 75
12.143,33.95,26.344,57.14,22.168,46.848,18.552,40.847,129.877,4.772,131.138,9.134,17.532,38.248,0,Agtron 75
12.49,34.828,26.688,57.596,22.315,46.858,18.678,40.829,129.892,4.772,131.199,9.233,17.631,38.202,0,Agtron 75
12.399,34.588,27.498,58.108,22.416,46.664,18.601,40.543,130.027,4.982,131.061,8.955,17.593,38.018,0,Agtron 75
20.121,49.171,24.287,49.717,15.898,37.902,13.669,35.692,129.121,3.529,128.532,3.835,13.496,34.144,1,Agtron 25
12.513,37.808,28.749,58.689,16.067,37.772,13.482,35.36,129.309,3.72,128.948,4.114,13.273,33.81,1,Agtron 25
18.827,47.357,24.383,50.633,15.571,37.435,13.356,35.242,129.095,3.539,128.576,3.852,13.198,33.715,1,Agtron 25
12.907,38.452,29.45,59.206,16.381,37.995,13.699,35.491,129.365,3.758,128.98,4.154,13.486,33.931,1,Agtron 25
19.329,48.223,24.518,50.609,15.627,37.578,13.408,35.41,129.105,3.514,128.563,3.846,13.252,33.866,1,Agtron 25
12.288,37.372,29.208,58.897,16.277,37.886,13.643,35.452,129.342,3.734,128.998,4.133,13.427,33.896,1,Agtron 25
19.093,47.905,25.085,51.075,15.931,37.801,13.647,35.6,129.158,3.557,128.598,3.837,13.476,34.053,1,Agtron 25
12.567,37.84,29.495,59.448,16.326,38.008,13.679,35.558,129.34,3.731,128.99,4.139,13.465,33.997,1,Agtron 25
19.367,48.018,25.197,51.243,16.165,37.954,13.889,35.757,129.133,3.558,128.574,3.846,13.712,34.194,1,Agtron 25
12.675,37.998,28.924,57.992,16.737,38.428,14.067,35.938,129.369,3.747,129.026,4.205,13.824,34.365,1,Agtron 25
19.712,48.749,24.758,50.784,16.042,37.941,13.801,35.825,129.128,3.532,128.547,3.801,13.631,34.261,1,Agtron 25
12.475,37.718,28.287,57.553,16.138,37.832,13.566,35.393,129.312,3.7,128.968,4.082,13.347,33.843,1,Agtron 25
19.543,48.602,23.653,49.585,15.321,37.051,13.171,34.915,129.077,3.476,128.497,3.729,13.021,33.412,1,Agtron 25
12.77,38.302,28.784,57.935,16.393,37.972,13.744,35.462,129.353,3.724,128.909,4.042,13.533,33.921,1,Agtron 25
19.512,48.482,23.932,49.9,15.514,37.35,13.327,35.178,129.097,3.515,128.511,3.804,13.167,33.645,1,Agtron 25
12.539,37.615,29.235,58.627,16.641,38.27,13.963,35.711,129.368,3.772,129.02,4.177,13.718,34.136,1,Agtron 25
20.434,49.665,23.857,49.767,15.336,37.205,13.146,35.014,129.095,3.501,128.475,3.773,13.013,33.518,1,Agtron 25
13.215,39.14,29.301,58.954,16.461,38.045,13.75,35.522,129.391,3.786,128.924,4.089,13.546,33.971,1,Agtron 25
19.672,48.564,24.093,49.839,15.992,37.928,13.753,35.7,129.142,3.547,128.535,3.829,13.561,34.138,1,Agtron 25
13.062,38.855,28.725,58.077,16.349,37.919,13.678,35.342,129.373,3.775,128.923,4.106,13.456,33.788,1,Agtron 25
20.174,49.178,23.845,49.51,16.075,38.233,13.869,36.002,129.125,3.534,128.527,3.907,13.673,34.438,1,Agtron 25
12.899,38.507,28.362,57.634,16.42,38.31,13.81,35.798,129.337,3.719,128.968,4.19,13.584,34.234,1,Agtron 25
19.477,48.369,23.816,49.88,15.501,37.625,13.312,35.45,129.098,3.516,128.53,3.875,13.163,33.924,1,Agtron 25
13.113,38.787,28.736,58.255,16.408,38.318,13.748,35.782,129.363,3.752,128.944,4.201,13.537,34.23,1,Agtron 25
11.452,35.935,33.365,65.545,17.933,39.118,14.45,35.523,129.933,4.462,129.858,5.456,14.103,33.836,1,Agtron 35
11.784,36.448,34.733,68.337,18.521,39.748,14.846,35.964,130.066,4.649,130.087,5.832,14.436,34.215,1,Agtron 35
11.22,35.907,32.861,65.687,17.446,38.556,14.024,35.027,129.921,4.456,129.804,5.332,13.695,33.381,1,Agtron 35
11.082,35.277,33.834,67.874,17.829,39.042,14.293,35.315,129.973,4.572,130.041,5.762,13.896,33.591,1,Agtron 35
11.043,35.404,32.717,65.332,17.508,38.69,14.095,35.099,129.907,4.454,129.844,5.408,13.75,33.434,1,Agtron 35
11.041,35.332,33.253,67.258,17.659,38.879,14.175,35.19,129.956,4.564,130.019,5.747,13.774,33.464,1,Agtron 35
11.385,35.191,30.305,60.231,18.208,40.204,14.97,36.352,129.707,4.097,129.436,5.263,14.571,34.648,1,Agtron 35
11.952,35.687,31.584,62.616,18.826,40.854,15.407,36.726,129.799,4.231,129.675,5.722,14.944,34.967,1,Agtron 35
12.823,38.317,34.252,66.968,18.502,39.128,14.893,35.401,130.016,4.568,130.18,5.919,14.484,33.622,1,Agtron 35
11.311,36.216,33.186,65.752,17.819,38.312,14.553,35.207,129.767,4.255,130.151,5.616,14.204,33.483,1,Agtron 35
12.457,37.997,33.885,66.915,18.725,39.546,15.222,36.097,129.952,4.478,130.213,5.882,14.797,34.305,1,Agtron 35
12.505,38.335,32.604,64.237,18.033,38.493,14.673,35.102,129.871,4.345,129.992,5.484,14.308,33.386,1,Agtron 35
12.755,38.59,33.933,67.126,18.495,39.099,14.958,35.467,129.974,4.51,130.263,6.017,14.526,33.681,1,Agtron 35
12.529,38.398,33.02,64.817,17.957,38.453,14.562,35.062,129.892,4.351,129.982,5.452,14.21,33.362,1,Agtron 35
