coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
55.07,63.752,20.174,32.427,72.301,92.306,69.65,91.864,129.238,2.884,127.086,3.355,68.202,89.257,0,Agtron 25
46.915,59.771,19.101,31.636,66.243,89.808,63.912,89.463,128.894,2.636,127.349,3.369,62.59,86.881,0,Agtron 25
61.505,61.5,21.358,30.934,91.082,96.401,88.322,96.231,129.029,2.691,126.749,3.394,86.333,93.397,0,Agtron 25
53.761,62.188,20.017,31.371,74.656,93.0,72.146,92.698,128.976,2.717,127.143,3.233,70.635,90.034,0,Agtron 25
61.229,62.212,20.79,30.656,88.493,95.996,85.861,95.892,128.973,2.681,126.853,3.334,83.954,93.009,0,Agtron 25
64.91,62.434,20.019,28.499,83.916,96.713,81.127,96.255,128.938,2.416,126.389,2.964,79.561,93.444,0,Agtron 25
60.86,62.255,18.956,28.029,78.349,87.976,76.567,88.459,128.836,3.027,127.073,3.326,74.459,85.09,0,Agtron 25
60.502,62.501,18.597,27.355,75.409,87.388,73.674,87.882,128.784,2.987,127.082,3.254,71.683,84.547,0,Agtron 25
63.548,61.684,20.127,28.903,83.257,89.112,81.252,89.512,128.823,3.069,126.902,3.504,79.004,86.112,0,Agtron 25
63.774,62.746,19.867,28.449,81.425,88.528,79.47,88.954,128.85,3.125,126.992,3.579,77.257,85.537,0,Agtron 25
61.526,62.647,19.992,28.999,79.406,87.79,77.467,88.214,128.908,3.099,127.084,3.586,75.285,84.821,0,Agtron 25
61.514,61.283,18.282,27.925,84.403,97.007,82.199,97.077,128.654,2.275,126.805,2.762,80.628,94.322,0,Agtron 25
64.009,61.665,18.852,28.422,87.573,97.631,85.411,97.924,128.674,2.348,126.796,2.647,83.766,95.151,0,Agtron 25
52.441,60.455,24.925,38.822,81.217,86.41,78.664,86.888,129.427,3.949,127.829,4.36,76.142,83.551,0,Agtron 35
54.912,60.497,25.436,39.387,85.201,87.547,82.55,88.04,129.458,3.953,127.739,4.518,79.94,84.698,0,Agtron 35
50.613,59.163,23.025,39.217,82.838,94.988,80.182,95.245,129.168,3.214,127.749,3.957,78.391,92.602,0,Agtron 35
51.268,58.776,23.566,39.706,84.66,95.166,81.923,95.44,129.176,3.327,127.756,4.119,80.048,92.766,0,Agtron 35
53.236,59.141,24.771,38.834,85.077,87.604,82.693,88.341,129.337,3.916,127.807,4.363,80.089,85.0,0,Agtron 35
50.536,58.591,25.119,42.208,83.451,94.164,80.422,94.374,129.379,3.652,127.886,4.511,78.489,91.655,0,Agtron 35
53.795,58.77,25.229,42.051,90.363,95.622,87.313,95.929,129.334,3.628,127.807,4.56,85.221,93.187,0,Agtron 35
51.289,58.338,25.609,42.964,86.55,94.998,83.384,95.116,129.363,3.705,127.902,4.737,81.373,92.416,0,Agtron 35
51.385,57.889,25.552,43.239,87.909,95.44,84.806,95.631,129.336,3.643,127.88,4.7,82.761,92.911,0,Agtron 35
53.271,58.796,26.409,42.68,87.391,87.771,84.619,88.379,129.53,4.182,128.004,4.992,81.917,85.038,0,Agtron 35
53.159,58.935,26.717,42.896,86.913,87.548,84.14,88.112,129.49,4.175,127.994,4.956,81.402,84.741,0,Agtron 35
49.63,56.724,28.793,48.948,87.365,93.486,83.706,93.264,129.615,4.217,128.414,6.242,81.347,90.531,0,Agtron 45
47.83,56.028,28.907,48.594,84.654,93.082,80.985,92.842,129.597,4.247,128.415,6.113,78.729,90.104,0,Agtron 45
48.669,56.445,29.211,49.874,86.216,93.146,82.548,93.011,129.68,4.352,128.568,6.324,80.211,90.309,0,Agtron 45
48.44,55.693,29.667,49.286,85.817,92.609,82.065,92.361,129.59,4.234,128.357,6.202,79.717,89.54,0,Agtron 45
46.964,55.623,28.927,49.715,84.965,93.179,81.355,93.056,129.653,4.288,128.612,6.205,79.095,90.392,0,Agtron 45
38.397,53.999,28.339,49.461,65.324,79.782,62.263,79.573,129.738,4.598,129.018,6.215,59.899,76.255,0,Agtron 45
31.085,51.702,27.012,50.595,53.753,74.315,50.864,73.979,129.879,4.664,129.596,6.146,48.912,70.907,0,Agtron 45
43.979,55.698,28.027,49.096,78.82,92.105,75.201,91.584,129.652,4.298,128.668,6.289,73.095,88.942,0,Agtron 45
41.83,55.129,27.674,49.55,74.107,90.552,70.61,90.062,129.691,4.278,128.727,6.1,68.624,87.458,0,Agtron 45
45.497,55.692,28.556,49.989,81.96,92.789,78.419,92.666,129.671,4.356,128.638,6.153,76.238,90.005,0,Agtron 45
12.509,38.956,26.683,55.271,18.093,37.374,14.466,30.742,130.226,4.923,130.538,6.845,13.782,28.709,0,Agtron 55
41.484,54.631,29.215,53.153,75.849,90.816,72.152,90.439,129.894,4.745,129.26,6.965,70.029,87.874,0,Agtron 55
41.015,54.691,28.907,53.275,74.606,90.557,70.918,90.072,129.892,4.757,129.298,7.054,68.827,87.52,0,Agtron 55
43.992,54.775,29.522,52.579,80.393,92.235,76.593,91.765,129.803,4.663,129.035,7.077,74.325,89.145,0,Agtron 55
45.359,55.814,32.349,52.795,79.159,83.651,75.269,83.069,129.956,5.128,129.156,7.622,72.199,79.591,0,Agtron 55
42.067,53.368,31.342,52.723,76.435,83.385,72.898,83.108,129.848,5.022,129.421,7.519,69.967,79.696,0,Agtron 55
49.727,54.576,31.71,52.675,92.654,93.481,88.538,93.257,129.716,4.843,128.901,7.472,85.789,90.492,0,Agtron 55
12.624,38.422,26.826,54.764,18.603,37.916,14.978,31.382,130.187,4.803,130.602,6.911,14.269,29.29,0,Agtron 55
44.278,53.365,32.413,53.588,81.505,84.245,77.92,84.157,129.829,5.137,129.545,7.872,74.747,80.686,0,Agtron 55
42.975,53.504,32.466,55.962,80.236,91.253,75.868,90.106,129.774,5.033,129.571,8.628,73.309,87.298,0,Agtron 65
41.222,52.626,33.317,55.066,74.248,82.506,70.306,81.499,129.786,5.136,129.874,8.712,67.241,77.948,0,Agtron 65
11.333,34.483,26.466,56.187,18.726,39.862,15.146,33.046,130.0,4.706,130.904,7.996,14.346,30.728,0,Agtron 65
43.089,52.448,32.668,54.175,78.672,84.156,74.889,83.371,129.608,5.076,129.604,8.706,71.643,79.753,0,Agtron 65
39.188,51.707,30.279,54.367,74.459,90.068,70.537,88.976,129.54,4.785,129.494,8.135,68.183,86.184,0,Agtron 65
39.018,51.675,30.594,54.594,74.226,90.076,70.241,88.921,129.595,4.763,129.524,8.162,67.919,86.189,0,Agtron 65
11.124,34.235,26.385,56.716,19.019,40.37,15.431,33.482,130.018,4.766,131.015,8.037,14.602,31.135,0,Agtron 65
39.58,52.18,29.985,54.055,75.149,90.685,71.351,89.774,129.529,4.693,129.488,7.863,69.078,87.091,0,Agtron 65
11.78,36.167,25.963,55.774,18.509,39.196,15.026,32.493,130.005,4.701,130.863,7.763,14.226,30.225,0,Agtron 65
40.297,52.317,30.298,54.271,76.9,91.056,73.061,90.113,129.508,4.716,129.541,8.118,70.691,87.394,0,Agtron 65
11.899,36.495,26.104,55.885,18.513,39.16,15.018,32.487,130.019,4.719,130.838,7.666,14.232,30.242,0,Agtron 65
12.858,39.769,27.543,57.809,19.189,40.197,15.454,33.156,130.203,4.978,131.058,7.996,14.616,30.828,0,Agtron 65
39.525,53.993,29.875,54.701,73.021,89.701,69.099,88.53,129.795,4.761,129.546,8.057,66.832,85.823,0,Agtron 65
41.371,54.063,30.747,55.16,76.598,90.912,72.579,89.769,129.703,4.675,129.441,8.186,70.221,87.023,0,Agtron 65
41.849,54.401,31.206,55.775,77.268,91.027,73.153,89.804,129.747,4.747,129.514,8.45,70.744,87.055,0,Agtron 65
41.529,54.116,31.056,55.784,77.113,91.016,72.946,89.752,129.787,4.84,129.451,8.353,70.538,86.994,0,Agtron 65
42.072,54.699,30.196,54.776,77.533,91.228,73.555,90.187,129.758,4.761,129.339,8.021,71.195,87.464,0,Agtron 65
44.323,55.284,31.562,55.802,81.771,92.141,77.603,91.146,129.786,4.883,129.417,8.376,75.063,88.391,0,Agtron 65
45.782,55.849,31.453,55.052,83.381,92.279,79.179,91.252,129.798,4.775,129.242,8.242,76.589,88.474,0,Agtron 65
12.529,39.57,26.611,56.825,18.59,39.314,15.046,32.608,130.106,4.854,130.909,7.696,14.232,30.348,0,Agtron 65
12.066,38.051,26.926,57.27,18.653,39.299,15.071,32.491,130.112,4.858,130.961,7.766,14.25,30.218,0,Agtron 65
39.412,51.875,30.233,54.835,75.338,90.11,71.532,89.06,129.466,4.899,129.637,8.376,69.023,86.187,0,Agtron 65
42.138,52.85,31.258,55.054,80.356,91.65,76.399,90.675,129.478,4.878,129.489,8.392,73.773,87.822,0,Agtron 65
11.168,34.739,26.099,56.513,18.464,39.42,14.977,32.616,129.987,4.724,130.969,7.949,14.147,30.302,0,Agtron 65
11.437,34.318,27.32,58.416,20.31,43.053,16.509,35.742,130.071,4.861,131.41,8.929,15.553,33.168,0,Agtron 75
12.103,36.167,27.546,58.746,21.113,44.617,17.187,37.078,130.166,5.01,131.517,9.15,16.195,34.429,0,Agtron 75
12.384,37.676,27.353,58.735,19.958,42.427,16.102,35.02,130.194,5.077,131.321,8.725,15.197,32.515,0,Agtron 75
11.833,36.071,27.02,58.556,19.727,42.347,15.901,34.922,130.137,5.026,131.308,8.745,15.012,32.398,0,Agtron 75
11.808,35.441,27.181,58.64,19.503,41.935,15.709,34.643,130.101,4.962,131.233,8.688,14.85,32.16,0,Agtron 75
11.999,35.809,27.051,58.121,20.365,43.673,16.522,36.295,130.113,4.967,131.34,8.931,15.601,33.715,0,Agtron 75
11.351,34.485,26.41,57.851,19.054,41.395,15.349,34.172,130.041,4.906,131.149,8.546,14.519,31.711,0,Agtron 75
11.731,34.99,27.101,58.162,20.087,43.118,16.246,35.739,130.092,4.94,131.325,8.882,15.343,33.169,0,Agtron 75
11.482,34.769,27.149,58.545,19.392,41.848,15.554,34.403,130.126,5.007,131.251,8.753,14.695,31.921,0,Agtron 75
10.911,32.679,26.752,57.663,19.926,42.994,16.198,35.77,129.961,4.74,131.38,8.991,15.279,33.18,0,Agtron 75
11.139,33.471,26.981,58.077,19.766,42.627,16.03,35.329,129.968,4.723,131.428,9.076,15.103,32.733,0,Agtron 75
10.917,32.923,27.785,58.587,19.741,42.012,15.86,34.64,130.088,4.9,131.306,8.776,14.97,32.133,0,Agtron 75
43.777,59.597,27.475,48.493,60.633,81.025,58.253,80.928,129.327,3.292,127.697,4.214,56.517,77.785,1,Agtron 25
37.343,54.68,31.855,57.407,61.652,80.528,59.052,80.81,129.511,3.477,128.139,4.471,57.197,77.606,1,Agtron 25
42.814,58.696,27.555,49.415,60.667,81.176,58.324,81.141,129.297,3.301,127.746,4.207,56.591,77.996,1,Agtron 25
37.674,54.895,32.747,57.835,61.744,80.573,58.915,80.628,129.574,3.512,128.098,4.588,57.078,77.442,1,Agtron 25
42.519,59.001,27.553,49.436,59.211,80.379,56.916,80.4,129.286,3.28,127.782,4.161,55.227,77.257,1,Agtron 25
36.269,54.067,32.19,57.64,60.659,79.768,58.093,80.155,129.514,3.496,128.257,4.447,56.257,76.953,1,Agtron 25
41.206,58.43,27.933,49.931,58.064,79.438,55.807,79.621,129.312,3.316,127.912,4.074,54.141,76.492,1,Agtron 25
35.315,53.652,32.277,58.258,59.09,79.114,56.569,79.544,129.492,3.492,128.318,4.383,54.801,76.378,1,Agtron 25
42.094,58.682,28.141,50.069,59.596,80.418,57.279,80.5,129.311,3.321,127.845,4.112,55.592,77.389,1,Agtron 25
35.616,53.793,31.72,56.791,59.661,79.309,57.095,79.685,129.525,3.511,128.333,4.455,55.298,76.532,1,Agtron 25
40.222,58.422,27.311,49.759,55.57,78.082,53.451,78.365,129.251,3.3,127.973,3.937,51.866,75.268,1,Agtron 25
24.619,48.004,29.401,57.004,39.172,65.254,37.133,65.996,129.305,3.474,128.851,3.769,35.965,63.123,1,Agtron 25
31.239,55.043,24.795,49.069,38.406,65.29,36.769,66.042,129.082,3.239,128.375,3.391,35.679,63.191,1,Agtron 25
36.437,54.278,31.708,56.707,60.746,80.256,58.108,80.513,129.545,3.478,128.126,4.354,56.327,77.379,1,Agtron 25
