coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.82,57.053,16.638,34.136,12.015,26.229,9.937,22.913,129.332,3.333,128.382,2.724,9.974,21.937,0,Agtron 25
20.685,51.487,15.795,33.129,11.72,25.822,9.792,22.786,129.152,3.035,128.44,2.817,9.84,21.814,0,Agtron 25
22.04,53.914,16.117,33.047,11.957,25.594,10.018,22.662,129.229,3.067,128.425,2.478,10.049,21.704,0,Agtron 25
23.313,55.147,16.047,32.945,12.102,25.99,10.158,23.143,129.223,3.057,128.405,2.537,10.199,22.15,0,Agtron 25
23.413,55.657,15.839,32.665,11.973,26.012,10.057,23.236,129.189,3.061,128.42,2.451,10.12,22.236,0,Agtron 25
29.147,58.844,15.184,30.248,11.235,24.755,9.399,22.427,129.044,2.842,127.961,2.112,9.591,21.509,0,Agtron 25
26.544,56.847,14.072,29.327,10.845,24.05,9.152,21.771,128.922,2.651,128.141,2.173,9.331,20.893,0,Agtron 25
27.759,57.827,13.907,28.548,10.765,23.684,9.081,21.416,128.906,2.584,128.077,2.158,9.279,20.581,0,Agtron 25
26.771,56.698,14.633,30.38,11.068,24.077,9.31,21.752,128.947,2.652,128.136,2.29,9.484,20.868,0,Agtron 25
27.769,58.279,14.576,29.883,11.258,24.849,9.475,22.382,128.982,2.709,128.177,2.497,9.642,21.434,0,Agtron 25
26.598,57.256,14.888,30.389,11.478,25.113,9.7,22.797,129.009,2.664,128.215,2.476,9.837,21.81,0,Agtron 25
25.486,55.65,14.031,29.458,10.576,23.466,8.888,21.234,128.899,2.56,128.139,2.117,9.083,20.411,0,Agtron 25
26.467,56.933,14.614,29.989,10.881,23.841,9.147,21.657,128.95,2.583,128.125,2.08,9.327,20.792,0,Agtron 25
17.141,48.149,19.821,40.587,13.811,29.013,11.359,25.193,129.53,3.656,129.031,3.363,11.211,23.926,0,Agtron 35
17.312,48.046,20.098,41.268,13.796,29.169,11.318,25.312,129.538,3.678,129.037,3.506,11.181,24.032,0,Agtron 35
15.89,46.283,19.375,40.994,13.001,28.18,10.645,24.462,129.429,3.588,129.014,3.38,10.553,23.261,0,Agtron 35
15.956,46.024,19.721,41.513,13.364,28.683,10.936,24.82,129.482,3.666,129.059,3.537,10.817,23.582,0,Agtron 35
16.315,46.465,19.602,40.644,13.282,28.504,10.873,24.668,129.486,3.637,128.983,3.386,10.758,23.455,0,Agtron 35
16.19,46.057,21.243,43.991,14.138,30.16,11.448,25.857,129.66,3.986,129.196,3.897,11.267,24.493,0,Agtron 35
15.565,45.488,20.92,44.05,13.865,29.68,11.221,25.334,129.613,3.949,129.246,3.869,11.059,24.019,0,Agtron 35
15.495,45.142,21.409,44.847,14.327,30.357,11.619,25.96,129.659,4.027,129.311,4.044,11.412,24.575,0,Agtron 35
14.814,43.949,21.342,45.128,14.098,30.192,11.429,25.86,129.633,3.969,129.301,4.018,11.234,24.493,0,Agtron 35
14.851,43.931,21.051,44.564,13.922,29.822,11.253,25.393,129.6,3.964,129.288,3.999,11.089,24.056,0,Agtron 35
15.031,44.645,21.22,44.862,14.015,29.826,11.371,25.538,129.607,3.943,129.303,3.922,11.189,24.188,0,Agtron 35
13.648,41.399,24.07,50.904,15.817,32.968,12.737,27.462,129.88,4.381,129.932,5.49,12.294,25.801,0,Agtron 45
13.857,41.296,24.309,50.537,15.792,32.689,12.66,27.132,129.911,4.391,129.844,5.415,12.249,25.506,0,Agtron 45
13.409,40.886,24.738,51.744,16.079,33.299,12.873,27.509,129.964,4.495,130.001,5.637,12.406,25.827,0,Agtron 45
13.332,40.023,24.754,51.277,16.079,33.058,12.936,27.652,129.899,4.38,129.899,5.428,12.515,25.987,0,Agtron 45
13.005,39.826,24.705,51.519,16.108,33.104,12.932,27.442,129.936,4.432,129.958,5.54,12.475,25.775,0,Agtron 45
13.234,39.955,24.178,50.895,15.918,33.252,12.804,27.717,129.887,4.39,129.881,5.534,12.362,26.03,0,Agtron 45
12.482,39.127,24.437,51.499,16.347,34.051,13.149,28.227,129.952,4.488,130.04,5.729,12.645,26.476,0,Agtron 45
13.139,40.626,24.135,50.808,16.165,34.026,13.012,28.303,129.922,4.437,129.983,5.715,12.536,26.555,0,Agtron 45
12.534,39.341,24.236,51.204,15.658,33.226,12.509,27.437,129.929,4.443,129.944,5.623,12.054,25.758,0,Agtron 45
12.393,39.385,24.741,51.903,15.561,32.92,12.335,26.946,129.979,4.511,129.98,5.674,11.9,25.309,0,Agtron 45
12.538,38.991,26.583,55.259,17.994,37.072,14.401,30.559,130.215,4.893,130.506,6.797,13.72,28.534,0,Agtron 55
12.494,38.941,26.165,54.606,17.663,36.516,14.137,30.181,130.185,4.847,130.395,6.575,13.501,28.217,0,Agtron 55
12.318,38.71,25.895,54.661,17.606,36.72,14.106,30.363,130.152,4.863,130.421,6.652,13.465,28.368,0,Agtron 55
12.325,38.073,25.778,54.302,17.527,36.519,14.09,30.33,130.107,4.757,130.359,6.591,13.451,28.349,0,Agtron 55
12.758,39.777,26.379,54.932,18.03,37.139,14.484,30.804,130.199,4.859,130.476,6.697,13.813,28.774,0,Agtron 55
11.859,36.905,26.123,54.603,17.983,37.06,14.484,30.732,130.114,4.742,130.489,6.739,13.807,28.697,0,Agtron 55
12.305,37.408,26.469,54.951,18.412,37.607,14.819,31.155,130.181,4.845,130.539,6.822,14.113,29.08,0,Agtron 55
