coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
104.492,40.504,28.792,28.763,165.248,67.596,161.297,69.822,129.446,3.534,124.978,4.381,156.652,66.975,0,Agtron 25
98.27,40.85,27.796,27.985,164.509,67.516,161.245,69.789,128.934,3.387,125.336,4.398,156.491,66.851,0,Agtron 25
99.216,41.558,27.771,28.04,165.123,68.432,161.924,70.776,129.001,3.443,125.46,4.183,157.272,67.929,0,Agtron 25
100.525,40.989,27.876,27.844,164.755,68.799,161.474,71.081,128.942,3.458,125.392,4.172,156.833,68.172,0,Agtron 25
100.768,41.185,27.389,27.728,164.339,68.736,161.238,71.072,128.935,3.442,125.457,4.104,156.586,68.101,0,Agtron 25
108.015,33.848,27.297,24.856,164.11,72.328,160.322,74.121,129.02,3.213,124.647,3.612,155.983,70.993,0,Agtron 25
102.228,38.387,24.49,24.931,164.117,72.001,161.599,74.147,128.618,3.118,125.541,3.654,157.295,71.101,0,Agtron 25
103.64,37.02,24.199,24.151,164.315,72.662,161.835,74.808,128.531,3.082,125.523,3.542,157.617,71.773,0,Agtron 25
102.177,38.151,25.063,25.988,163.935,72.468,161.315,74.688,128.582,3.163,125.537,3.713,157.053,71.665,0,Agtron 25
104.384,37.637,24.982,25.405,163.894,72.004,161.292,74.24,128.632,3.219,125.538,3.784,156.996,71.192,0,Agtron 25
103.168,38.475,25.281,25.907,164.116,71.703,161.51,73.976,128.675,3.214,125.592,3.83,157.182,70.976,0,Agtron 25
102.117,37.258,24.266,25.171,164.58,71.846,162.225,74.116,128.516,3.116,125.604,3.539,157.926,71.082,0,Agtron 25
103.125,37.752,24.465,25.715,164.664,72.035,162.36,74.458,128.6,3.144,125.667,3.446,158.095,71.459,0,Agtron 25
94.51,43.827,30.192,35.843,166.647,66.113,163.478,69.463,129.211,4.047,126.342,4.815,158.751,66.918,0,Agtron 35
94.657,43.604,30.386,36.564,167.162,66.457,163.903,69.798,129.254,4.058,126.359,4.929,159.217,67.244,0,Agtron 35
94.532,42.938,29.581,36.538,167.028,65.859,164.143,69.247,129.123,3.952,126.363,4.787,159.389,66.628,0,Agtron 35
93.966,42.937,30.004,36.947,167.015,65.824,164.003,69.245,129.142,4.04,126.395,4.93,159.249,66.658,0,Agtron 35
93.617,42.761,29.707,36.058,167.393,65.74,164.463,69.182,129.133,4.004,126.405,4.79,159.751,66.616,0,Agtron 35
94.21,42.713,31.75,39.143,166.973,64.515,163.603,68.278,129.343,4.295,126.442,5.301,158.745,65.716,0,Agtron 35
93.51,43.435,31.111,39.452,167.123,64.925,163.89,68.618,129.335,4.256,126.592,5.276,159.102,66.084,0,Agtron 35
92.55,43.517,31.824,40.106,167.211,64.681,163.841,68.404,129.323,4.339,126.626,5.476,159.013,65.916,0,Agtron 35
92.264,43.177,31.724,40.51,167.78,64.453,164.472,68.181,129.325,4.282,126.617,5.464,159.622,65.69,0,Agtron 35
92.518,43.418,31.38,39.971,167.238,65.178,163.907,68.855,129.329,4.26,126.606,5.426,159.107,66.291,0,Agtron 35
92.977,43.218,31.899,40.075,167.059,64.762,163.675,68.395,129.279,4.248,126.53,5.408,158.809,65.838,0,Agtron 35
91.213,42.167,35.471,45.782,168.102,60.696,164.165,64.756,129.536,4.702,127.042,6.973,158.9,62.585,0,Agtron 45
90.87,42.24,35.539,45.341,167.951,61.62,163.956,65.733,129.561,4.721,127.004,6.857,158.786,63.5,0,Agtron 45
91.21,42.114,35.828,46.663,168.328,60.468,164.389,64.764,129.604,4.815,127.185,7.061,159.136,62.65,0,Agtron 45
89.925,41.729,36.701,45.773,165.783,61.277,161.72,65.309,129.438,4.752,126.917,6.937,156.395,62.962,0,Agtron 45
89.577,42.826,35.619,46.512,168.27,61.347,164.31,65.55,129.621,4.755,127.193,6.983,159.129,63.428,0,Agtron 45
90.39,41.43,36.508,45.328,167.598,60.46,163.371,64.39,129.468,4.746,126.796,7.067,158.007,62.14,0,Agtron 45
89.916,42.383,35.586,46.447,169.82,60.134,165.78,64.348,129.575,4.831,127.236,7.176,160.537,62.332,0,Agtron 45
90.792,42.306,35.742,45.571,169.461,60.153,165.322,64.211,129.554,4.778,127.048,7.202,160.034,62.105,0,Agtron 45
91.357,41.683,35.463,46.208,169.652,59.401,165.703,63.718,129.612,4.751,127.125,7.084,160.426,61.641,0,Agtron 45
90.472,42.022,35.55,47.024,169.962,60.014,166.138,64.552,129.585,4.858,127.328,7.085,160.932,62.468,0,Agtron 45
90.93,41.001,38.421,49.778,170.963,57.354,166.456,62.086,129.701,5.292,127.573,8.245,160.908,60.294,0,Agtron 55
90.591,41.662,37.245,49.472,170.037,57.665,165.888,62.484,129.76,5.207,127.609,7.956,160.39,60.612,0,Agtron 55
90.549,41.319,36.948,49.633,170.015,57.317,165.968,62.085,129.712,5.232,127.65,8.026,160.415,60.218,0,Agtron 55
90.608,39.984,38.085,48.716,170.062,57.504,165.739,62.049,129.501,5.21,127.364,8.045,160.122,60.154,0,Agtron 55
91.448,41.489,38.134,49.587,169.82,57.273,165.431,61.968,129.73,5.253,127.533,8.151,159.835,60.134,0,Agtron 55
88.633,40.12,38.638,48.86,170.341,57.853,165.944,62.348,129.378,5.267,127.555,8.213,160.34,60.477,0,Agtron 55
89.461,40.189,38.846,49.2,169.235,57.27,164.79,61.884,129.512,5.322,127.566,8.281,159.137,60.016,0,Agtron 55
89.408,40.344,39.413,48.785,169.571,57.752,165.074,62.329,129.392,5.307,127.578,8.337,159.408,60.43,0,Agtron 55
88.145,40.02,39.399,49.861,169.982,57.548,165.559,62.089,129.359,5.353,127.761,8.541,159.869,60.233,0,Agtron 55
89.742,38.856,41.908,51.37,170.454,55.844,165.277,60.239,129.364,5.53,127.702,9.583,159.282,58.445,0,Agtron 65
88.841,38.474,42.631,50.132,170.805,56.631,165.439,60.701,129.082,5.464,127.625,9.575,159.403,58.855,0,Agtron 65
88.309,36.618,40.767,49.66,171.841,54.869,167.314,59.348,128.707,5.371,127.753,9.405,161.22,57.473,0,Agtron 65
89.354,37.428,41.157,49.689,171.862,55.216,166.942,59.418,128.954,5.356,127.538,9.424,160.877,57.618,0,Agtron 65
89.172,37.465,40.907,49.569,170.594,55.017,165.825,59.334,128.951,5.369,127.495,9.252,159.72,57.462,0,Agtron 65
89.171,37.435,41.266,49.581,170.751,55.117,165.876,59.407,128.976,5.362,127.483,9.27,159.801,57.591,0,Agtron 65
87.779,36.982,40.519,50.357,171.739,54.91,167.263,59.304,128.701,5.435,127.884,9.47,161.178,57.484,0,Agtron 65
88.908,37.956,40.495,49.354,170.892,56.227,166.281,60.489,128.859,5.329,127.576,9.004,160.332,58.642,0,Agtron 65
89.318,37.327,40.261,49.359,170.769,54.597,166.317,58.893,128.804,5.35,127.666,9.212,160.223,57.101,0,Agtron 65
88.765,37.811,40.69,49.507,170.888,55.693,166.297,59.906,128.802,5.353,127.647,9.212,160.261,58.094,0,Agtron 65
88.986,37.499,40.526,49.424,170.954,55.217,166.403,59.48,128.801,5.378,127.602,9.157,160.322,57.642,0,Agtron 65
92.169,39.849,42.392,51.039,170.951,54.328,165.332,58.555,129.494,5.466,127.424,9.716,159.324,56.878,0,Agtron 65
92.366,39.279,40.835,49.654,170.079,53.762,164.936,57.964,129.458,5.265,127.189,9.255,158.855,56.195,0,Agtron 65
91.925,38.557,42.158,49.884,170.241,54.51,164.881,58.575,129.185,5.274,127.154,9.38,158.787,56.739,0,Agtron 65
92.012,38.71,42.243,50.562,170.59,54.073,165.279,58.203,129.259,5.326,127.332,9.613,159.155,56.435,0,Agtron 65
92.089,38.629,42.09,50.65,170.723,54.054,165.273,58.21,129.346,5.385,127.206,9.518,159.17,56.439,0,Agtron 65
92.51,39.165,40.537,50.037,170.889,54.441,165.84,58.677,129.425,5.265,127.226,9.15,159.85,56.887,0,Agtron 65
92.05,39.268,41.675,51.129,171.526,54.157,166.358,58.531,129.388,5.399,127.461,9.482,160.305,56.817,0,Agtron 65
92.321,39.254,41.805,50.251,170.804,54.387,165.554,58.544,129.282,5.37,127.287,9.292,159.486,56.79,0,Agtron 65
92.563,39.722,40.867,50.394,171.308,54.112,166.12,58.334,129.464,5.261,127.325,9.34,160.149,56.683,0,Agtron 65
91.105,38.896,41.68,50.526,171.545,54.261,166.355,58.491,129.269,5.348,127.385,9.405,160.272,56.773,0,Agtron 65
89.201,36.806,40.597,50.038,171.423,52.88,167.074,57.362,128.676,5.492,127.726,9.368,160.79,55.643,0,Agtron 65
89.185,37.219,41.97,50.017,171.323,53.61,166.599,57.922,128.619,5.533,127.563,9.39,160.309,56.201,0,Agtron 65
88.385,36.466,41.209,49.748,171.222,53.328,166.745,57.71,128.55,5.466,127.7,9.445,160.42,55.893,0,Agtron 65
88.314,35.829,44.719,50.61,170.327,51.795,165.014,55.936,128.283,5.759,127.853,10.549,158.377,54.079,0,Agtron 75
90.752,37.039,45.901,50.531,170.882,51.911,164.407,55.543,128.864,5.717,127.415,11.038,157.834,53.759,0,Agtron 75
91.405,37.9,44.222,51.21,169.99,52.608,164.095,56.643,129.045,5.721,127.485,10.479,157.694,54.846,0,Agtron 75
90.916,37.183,44.461,50.873,169.304,52.234,163.36,56.155,128.949,5.692,127.381,10.539,156.886,54.283,0,Agtron 75
90.545,36.636,44.508,50.936,169.647,53.14,163.712,57.025,128.887,5.616,127.37,10.451,157.295,55.102,0,Agtron 75
91.003,36.662,45.331,50.049,170.912,52.525,164.501,56.172,128.858,5.659,127.242,10.793,158.025,54.333,0,Agtron 75
90.371,36.463,43.854,50.258,169.135,52.99,163.239,56.754,128.902,5.534,127.25,10.328,156.813,54.801,0,Agtron 75
