coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
11.597,41.55,11.876,32.378,5.49,15.469,4.09,12.296,128.793,2.322,128.283,1.447,4.293,12.244,0,Agtron 25
8.625,35.697,11.314,31.526,5.348,15.136,4.06,12.252,128.688,2.051,128.345,1.49,4.259,12.19,0,Agtron 25
8.635,35.489,11.39,32.13,5.229,14.982,3.927,11.922,128.686,2.103,128.357,1.605,4.127,11.877,0,Agtron 25
9.976,38.08,11.857,32.294,6.038,17.264,4.673,14.534,128.743,2.189,128.361,1.669,4.84,14.179,0,Agtron 25
9.81,37.874,11.613,31.868,5.656,16.162,4.334,13.435,128.705,2.084,128.331,1.521,4.53,13.206,0,Agtron 25
15.161,44.177,10.806,29.482,5.105,14.841,3.882,12.686,128.519,1.761,128.016,1.293,4.177,12.549,0,Agtron 25
13.029,41.213,10.057,28.463,4.521,12.8,3.366,10.272,128.47,1.666,128.096,1.31,3.684,10.458,0,Agtron 25
13.997,42.145,9.651,27.272,4.592,12.758,3.476,10.479,128.426,1.531,128.03,1.246,3.802,10.653,0,Agtron 25
13.526,41.665,10.685,29.771,4.772,13.186,3.546,10.583,128.503,1.757,128.089,1.404,3.865,10.745,0,Agtron 25
13.805,42.346,9.973,28.059,4.751,13.543,3.609,11.304,128.467,1.636,128.058,1.282,3.914,11.333,0,Agtron 25
12.722,40.827,10.108,28.745,4.655,13.135,3.502,10.712,128.483,1.675,128.107,1.304,3.805,10.836,0,Agtron 25
12.791,40.521,10.206,28.862,4.797,13.597,3.624,11.182,128.483,1.696,128.103,1.358,3.923,11.236,0,Agtron 25
13.495,41.762,10.611,29.505,4.92,13.864,3.712,11.47,128.507,1.74,128.088,1.369,4.013,11.487,0,Agtron 25
4.963,26.551,14.778,39.637,6.683,18.712,4.931,14.506,129.007,2.844,128.765,2.518,4.99,14.082,0,Agtron 35
5.234,27.216,15.397,40.646,7.012,19.546,5.184,15.272,129.045,2.912,128.825,2.722,5.233,14.746,0,Agtron 35
