coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.113,56.388,16.779,35.472,11.0,23.847,8.971,20.457,129.275,3.144,128.324,2.564,9.058,19.667,0,Agtron 25
20.36,51.244,15.964,34.584,10.633,23.21,8.751,20.071,129.097,2.815,128.382,2.655,8.853,19.312,0,Agtron 25
21.735,53.688,16.355,34.701,10.967,23.285,9.07,20.301,129.175,2.855,128.368,2.295,9.15,19.532,0,Agtron 25
22.898,54.853,16.245,34.538,10.964,23.339,9.058,20.346,129.169,2.849,128.346,2.366,9.155,19.577,0,Agtron 25
22.956,55.327,16.061,34.366,10.802,23.286,8.923,20.358,129.135,2.851,128.366,2.28,9.045,19.588,0,Agtron 25
28.312,58.306,15.477,32.068,10.139,22.071,8.351,19.671,128.984,2.616,127.936,1.925,8.584,18.982,0,Agtron 25
26.104,56.649,14.29,30.908,9.736,21.188,8.081,18.76,128.867,2.426,128.095,1.976,8.305,18.137,0,Agtron 25
27.291,57.611,14.14,30.125,9.753,21.053,8.111,18.694,128.85,2.358,128.036,1.963,8.344,18.086,0,Agtron 25
26.319,56.469,14.899,32.075,10.075,21.602,8.359,19.196,128.893,2.442,128.092,2.1,8.57,18.522,0,Agtron 25
27.23,57.995,14.825,31.486,10.205,22.294,8.46,19.695,128.929,2.501,128.139,2.35,8.669,18.964,0,Agtron 25
26.115,57.021,15.139,32.073,10.361,22.474,8.613,19.971,128.958,2.48,128.173,2.325,8.796,19.211,0,Agtron 25
25.051,55.443,14.262,31.077,9.569,20.818,7.918,18.453,128.848,2.35,128.097,1.935,8.151,17.865,0,Agtron 25
26.013,56.692,14.867,31.722,9.849,21.255,8.148,18.932,128.9,2.389,128.083,1.892,8.369,18.296,0,Agtron 25
16.952,48.091,20.023,42.029,12.782,26.948,10.362,22.951,129.481,3.476,128.98,3.267,10.27,21.847,0,Agtron 35
17.013,47.837,20.274,42.67,12.721,27.006,10.278,22.971,129.485,3.49,128.983,3.403,10.199,21.862,0,Agtron 35
15.747,46.285,19.544,42.382,11.938,25.9,9.618,22.003,129.378,3.396,128.955,3.245,9.584,20.987,0,Agtron 35
15.816,46.044,19.866,42.846,12.274,26.41,9.886,22.36,129.429,3.478,128.998,3.404,9.825,21.303,0,Agtron 35
16.076,46.348,19.753,42.025,12.191,26.21,9.818,22.163,129.434,3.45,128.925,3.256,9.762,21.136,0,Agtron 35
15.79,45.721,21.373,45.357,12.993,27.978,10.337,23.407,129.604,3.83,129.135,3.774,10.219,22.216,0,Agtron 35
15.403,45.444,21.043,45.332,12.815,27.627,10.211,23.081,129.559,3.791,129.183,3.746,10.106,21.925,0,Agtron 35
