coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
81.47,48.277,13.852,14.997,155.487,84.728,153.288,83.645,128.344,3.103,124.626,4.308,148.476,81.234,0,Agtron 25
79.292,47.089,13.61,14.561,155.044,84.207,153.398,83.379,127.995,3.057,124.923,4.241,148.472,80.906,0,Agtron 25
78.786,47.084,13.187,14.427,155.324,85.544,153.771,84.747,127.983,3.038,125.054,4.23,148.958,82.312,0,Agtron 25
78.919,47.207,13.369,14.404,154.922,85.811,153.303,84.965,127.924,3.022,125.006,4.199,148.483,82.502,0,Agtron 25
79.046,46.996,13.094,14.43,154.645,85.491,153.169,84.732,127.956,3.066,125.058,4.189,148.313,82.26,0,Agtron 25
80.905,47.441,13.534,14.06,155.067,87.574,152.851,86.382,128.173,3.04,124.664,4.162,148.189,83.965,0,Agtron 25
77.251,47.437,11.869,13.813,155.408,86.933,154.311,86.337,127.87,2.993,125.411,4.099,149.709,83.97,0,Agtron 25
77.463,47.178,11.718,13.699,155.623,87.524,154.559,86.947,127.787,2.988,125.446,4.059,150.027,84.608,0,Agtron 25
77.023,47.609,11.873,13.902,154.913,87.718,153.791,87.107,127.796,2.974,125.404,4.093,149.237,84.743,0,Agtron 25
78.24,47.51,11.838,13.888,154.725,87.421,153.64,86.826,127.815,3.017,125.368,4.038,149.051,84.447,0,Agtron 25
78.119,47.516,11.777,13.717,154.719,87.465,153.645,86.866,127.823,2.986,125.384,4.046,149.054,84.49,0,Agtron 25
78.174,46.702,11.616,13.551,156.007,86.673,155.091,86.159,127.766,2.987,125.458,3.999,150.482,83.814,0,Agtron 25
78.238,47.174,11.2,13.197,155.79,87.215,154.983,86.768,127.792,2.965,125.526,3.932,150.421,84.437,0,Agtron 25
78.63,47.348,11.955,14.372,155.136,85.802,154.098,85.266,127.884,3.246,125.346,4.113,149.372,82.891,0,Agtron 35
78.65,47.53,11.898,14.364,155.705,86.01,154.598,85.434,127.923,3.266,125.361,4.144,149.9,83.083,0,Agtron 35
79.896,46.782,11.779,14.262,156.38,84.529,155.531,84.102,127.897,3.223,125.384,4.07,150.717,81.747,0,Agtron 35
79.295,46.919,11.908,14.415,156.028,84.911,155.116,84.46,127.867,3.226,125.375,4.081,150.33,82.094,0,Agtron 35
78.602,46.712,11.754,14.427,156.47,84.853,155.609,84.428,127.858,3.25,125.462,4.115,150.864,82.086,0,Agtron 35
79.462,47.052,12.227,14.717,155.307,84.6,154.279,84.114,127.911,3.244,125.293,4.106,149.449,81.704,0,Agtron 35
79.261,47.268,11.899,14.62,155.659,84.712,154.721,84.26,127.944,3.244,125.398,4.097,149.943,81.889,0,Agtron 35
78.45,47.261,12.122,14.665,155.327,85.033,154.319,84.528,127.889,3.23,125.367,4.131,149.546,82.143,0,Agtron 35
78.798,47.095,12.046,14.606,156.171,84.567,155.192,84.068,127.915,3.227,125.369,4.147,150.383,81.698,0,Agtron 35
78.904,47.445,12.051,14.819,155.717,84.966,154.697,84.485,127.96,3.233,125.377,4.145,149.918,82.098,0,Agtron 35
79.239,46.974,12.368,14.607,155.406,84.807,154.32,84.271,127.896,3.215,125.273,4.125,149.489,81.853,0,Agtron 35
78.674,46.613,13.147,15.347,154.456,83.945,153.254,83.342,127.879,3.158,125.187,4.272,148.292,80.86,0,Agtron 45
78.124,46.99,12.995,15.272,154.295,84.7,153.073,84.091,127.878,3.178,125.24,4.263,148.181,81.611,0,Agtron 45
78.833,46.706,12.816,15.186,154.322,84.23,153.232,83.697,127.864,3.155,125.261,4.218,148.31,81.224,0,Agtron 45
77.726,46.606,13.663,15.255,151.973,84.294,150.71,83.626,127.765,3.168,125.091,4.252,145.663,81.042,0,Agtron 45
77.558,47.272,12.64,15.214,154.214,84.979,153.074,84.418,127.904,3.168,125.314,4.267,148.222,81.961,0,Agtron 45
78.27,46.399,13.991,15.153,153.807,83.786,152.36,83.014,127.808,3.138,124.984,4.282,147.297,80.47,0,Agtron 45
78.558,46.781,12.938,15.284,155.689,84.232,154.491,83.641,127.845,3.143,125.285,4.284,149.616,81.219,0,Agtron 45
78.787,46.586,13.354,15.254,155.538,83.87,154.204,83.191,127.857,3.145,125.152,4.309,149.251,80.741,0,Agtron 45
79.981,46.41,12.977,15.361,156.157,82.929,155.004,82.385,127.911,3.137,125.27,4.347,150.036,79.956,0,Agtron 45
79.137,46.287,12.638,15.62,156.51,83.437,155.536,83.011,127.831,3.156,125.445,4.381,150.629,80.605,0,Agtron 45
79.489,45.925,13.688,15.762,155.251,83.848,153.972,83.239,127.71,3.154,125.168,4.34,148.96,80.77,0,Agtron 55
79.224,46.45,12.87,15.271,154.685,83.567,153.71,83.116,127.793,3.122,125.305,4.238,148.706,80.647,0,Agtron 55
79.355,46.039,12.819,15.35,154.757,83.104,153.865,82.67,127.776,3.122,125.326,4.256,148.808,80.2,0,Agtron 55
79.442,45.342,14.071,15.573,154.879,83.215,153.651,82.608,127.611,3.154,125.101,4.31,148.525,80.108,0,Agtron 55
79.864,46.128,13.49,15.606,154.116,83.545,152.94,82.974,127.741,3.124,125.14,4.257,147.867,80.494,0,Agtron 55
77.86,45.297,14.359,15.821,154.671,84.056,153.412,83.412,127.489,3.179,125.177,4.434,148.339,80.893,0,Agtron 55
78.19,45.8,14.229,15.925,153.148,83.888,151.932,83.286,127.557,3.166,125.141,4.363,146.841,80.734,0,Agtron 55
77.764,45.57,14.511,15.972,153.284,84.523,152.011,83.891,127.443,3.175,125.116,4.386,146.914,81.315,0,Agtron 55
76.852,45.269,14.417,16.108,153.593,84.418,152.417,83.797,127.418,3.172,125.221,4.439,147.311,81.232,0,Agtron 55
77.95,44.956,16.081,16.664,153.388,83.831,151.612,82.918,127.387,3.238,124.831,4.606,146.295,80.238,0,Agtron 65
77.146,44.694,16.892,16.817,153.339,84.855,151.309,83.781,127.163,3.272,124.759,4.615,145.975,81.049,0,Agtron 65
78.133,43.219,16.404,16.556,155.769,82.016,154.399,81.386,126.951,3.25,125.04,4.628,148.927,78.712,0,Agtron 65
78.897,43.723,16.805,16.872,155.738,82.425,153.971,81.557,127.152,3.238,124.814,4.688,148.536,78.914,0,Agtron 65
78.989,43.789,16.593,16.328,154.576,81.998,152.975,81.215,127.135,3.196,124.808,4.529,147.494,78.537,0,Agtron 65
78.843,43.866,16.679,16.482,154.56,82.339,152.868,81.506,127.155,3.222,124.786,4.531,147.425,78.847,0,Agtron 65
77.833,43.229,16.509,17.408,155.698,81.944,154.347,81.354,126.947,3.302,125.108,4.749,148.892,78.706,0,Agtron 65
78.405,43.783,16.346,16.789,155.07,82.814,153.541,82.08,127.07,3.228,124.972,4.601,148.187,79.47,0,Agtron 65
78.74,43.394,16.377,16.699,154.862,81.583,153.477,80.921,127.041,3.266,124.978,4.542,148.016,78.291,0,Agtron 65
78.286,43.61,16.435,16.54,154.774,82.648,153.285,81.916,127.014,3.238,124.947,4.563,147.88,79.284,0,Agtron 65
78.285,43.359,16.495,16.704,155.099,82.03,153.626,81.315,127.026,3.275,124.944,4.597,148.158,78.669,0,Agtron 65
80.689,44.831,17.018,17.446,154.401,82.017,152.099,80.933,127.546,3.324,124.538,4.762,146.758,78.376,0,Agtron 65
81.044,44.395,16.591,16.681,154.534,80.496,152.502,79.535,127.626,3.249,124.518,4.631,147.032,76.952,0,Agtron 65
81.166,44.117,17.453,16.688,154.432,81.287,152.186,80.216,127.382,3.263,124.421,4.566,146.703,77.601,0,Agtron 65
81.127,44.179,17.158,16.724,154.426,81.346,152.297,80.308,127.425,3.278,124.48,4.565,146.825,77.693,0,Agtron 65
81.391,44.106,17.311,16.855,154.885,81.052,152.631,79.972,127.484,3.264,124.42,4.595,147.157,77.371,0,Agtron 65
81.813,44.207,16.407,16.742,155.625,80.771,153.662,79.861,127.617,3.244,124.589,4.577,148.253,77.31,0,Agtron 65
81.017,44.161,16.705,17.277,155.7,81.29,153.737,80.368,127.493,3.272,124.675,4.706,148.322,77.8,0,Agtron 65
81.21,44.326,16.972,16.741,154.86,81.531,152.756,80.489,127.425,3.316,124.544,4.537,147.323,77.89,0,Agtron 65
81.463,44.508,16.272,16.467,155.434,81.308,153.397,80.339,127.609,3.22,124.562,4.582,148.069,77.812,0,Agtron 65
80.313,44.084,16.703,16.367,155.317,81.849,153.314,80.863,127.406,3.234,124.558,4.525,147.894,78.25,0,Agtron 65
79.109,42.782,16.673,16.304,155.485,80.477,154.211,79.89,126.888,3.298,124.926,4.451,148.604,77.218,0,Agtron 65
78.781,42.988,17.408,16.361,155.064,81.451,153.441,80.648,126.801,3.31,124.755,4.467,147.842,77.959,0,Agtron 65
78.373,42.674,17.087,16.333,155.14,80.87,153.748,80.219,126.787,3.309,124.897,4.495,148.093,77.491,0,Agtron 65
78.023,42.679,20.232,19.749,153.295,80.129,151.244,79.204,126.489,3.467,124.807,5.277,145.347,76.367,0,Agtron 75
80.027,43.684,22.019,22.504,153.804,80.057,150.579,78.672,127.045,3.562,124.389,5.932,144.753,75.934,0,Agtron 75
80.282,43.924,19.838,20.59,153.236,80.328,150.637,79.205,127.156,3.451,124.5,5.336,144.945,76.507,0,Agtron 75
80.198,43.729,20.25,20.313,152.51,79.884,149.855,78.709,127.097,3.426,124.396,5.333,144.085,75.965,0,Agtron 75
79.961,43.542,20.366,20.73,153.455,80.05,150.742,78.841,127.092,3.414,124.511,5.522,144.976,76.113,0,Agtron 75
80.408,43.523,22.014,22.714,154.679,79.649,151.428,78.283,127.097,3.572,124.404,5.987,145.621,75.6,0,Agtron 75
80.126,43.491,20.142,19.856,152.917,79.797,150.212,78.565,127.134,3.34,124.409,5.314,144.432,75.829,0,Agtron 75
