coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.458,56.526,16.607,35.307,11.738,26.751,9.738,23.959,129.248,3.163,128.218,3.284,9.791,23.099,0,Agtron 25
20.694,51.408,15.79,34.407,11.378,26.16,9.526,23.605,129.073,2.894,128.276,3.327,9.592,22.757,0,Agtron 25
22.122,53.878,16.298,34.718,11.894,26.758,10.002,24.26,129.166,2.998,128.283,3.149,10.037,23.376,0,Agtron 25
23.289,55.044,16.186,34.554,11.873,26.75,9.969,24.227,129.161,3.002,128.261,3.198,10.023,23.345,0,Agtron 25
23.291,55.483,15.965,34.334,11.573,26.361,9.705,23.899,129.121,2.957,128.275,3.111,9.791,23.048,0,Agtron 25
28.621,58.419,15.423,32.128,10.825,25.263,9.02,23.101,128.981,2.786,127.853,2.888,9.227,22.351,0,Agtron 25
26.563,56.857,14.292,31.013,10.757,25.274,9.093,23.25,128.866,2.651,128.019,2.939,9.268,22.463,0,Agtron 25
27.757,57.805,14.142,30.24,10.781,25.185,9.128,23.215,128.851,2.604,127.959,2.927,9.312,22.438,0,Agtron 25
26.813,56.705,14.908,32.188,11.111,25.727,9.377,23.665,128.896,2.705,128.013,3.018,9.539,22.841,0,Agtron 25
27.705,58.211,14.809,31.569,11.175,26.08,9.419,23.85,128.931,2.741,128.06,3.189,9.581,22.986,0,Agtron 25
26.566,57.248,15.144,32.195,11.319,26.236,9.548,24.014,128.965,2.758,128.098,3.182,9.687,23.135,0,Agtron 25
25.517,55.674,14.273,31.212,10.59,24.964,8.924,22.961,128.853,2.631,128.022,2.909,9.106,22.195,0,Agtron 25
26.524,56.946,14.885,31.864,10.919,25.512,9.198,23.518,128.908,2.686,128.007,2.884,9.367,22.71,0,Agtron 25
17.226,48.329,19.957,42.039,13.377,29.097,10.971,25.57,129.465,3.475,128.913,3.824,10.855,24.456,0,Agtron 35
17.321,48.108,20.201,42.658,13.324,29.162,10.898,25.617,129.467,3.471,128.917,3.898,10.795,24.495,0,Agtron 35
15.995,46.503,19.415,42.329,12.434,27.951,10.137,24.558,129.355,3.383,128.871,3.781,10.084,23.549,0,Agtron 35
16.087,46.297,19.749,42.8,12.823,28.556,10.455,25.02,129.408,3.473,128.916,3.925,10.374,23.966,0,Agtron 35
16.29,46.495,19.633,41.965,12.758,28.386,10.414,24.91,129.407,3.405,128.845,3.803,10.336,23.878,0,Agtron 35
